movie_id,movie_title,revenue,actor_id,director_id,actor_experience,director_experience
19995,Avatar,2787965087,65731,2710,5575930174.0,10305998550.0
597,Titanic,1845034188,204,2710,3690068376.0,10305998550.0
24428,The Avengers,1519557910,3223,12891,10632545595.0,4387442406.0
122,The Lord of the Rings: The Return of the King,1118888979,109,108,1944363162.0,2926034049.5
168259,Furious 7,1506249360,12835,2127,3012498720.0,3012498720.0
155,The Dark Knight,1004558444,3894,525,3134246314.5,6282763067.0
99861,Avengers: Age of Ultron,1405403694,3223,12891,10632545595.0,4387442406.0
121,The Lord of the Rings: The Two Towers,926287400,109,108,1944363162.0,2926034049.5
109445,Frozen,1274219009,40462,15774,3822657027.0,3822657027.0
49026,The Dark Knight Rises,1084939099,3894,525,3134246314.5,6282763067.0
27205,Inception,825532764,6193,525,3517221894.666667,6282763067.0
120,The Lord of the Rings: The Fellowship of the Ring,871368364,109,108,1944363162.0,2926034049.5
10193,Toy Story 3,1066969703,31,8,5192838079.2,2133939406.0
150540,Inside Out,857611174,56322,12890,1715222348.0,4311053024.0
11,Star Wars,775398007,2,1,2515330676.0,3250796014.0
8587,The Lion King,788241776,53283,15812,2364725328.0,2364725328.0
13,Forrest Gump,677945399,31,24,5192838079.2,2118110322.0
57158,The Hobbit: The Desolation of Smaug,958400000,7060,108,1914419788.0,2926034049.5
135397,Jurassic World,1513528810,73457,930707,6430708972.333334,3027057620.0
12,Finding Nemo,940335536,13,7,1880671072.0,2923294792.0
157336,Interstellar,675120017,10297,525,1350240034.0,6282763067.0
671,Harry Potter and the Philosopher's Stone,976475550,10980,10965,4509217964.166667,1853164032.0
118340,Guardians of the Galaxy,773328629,73457,15218,6430708972.333334,1546657258.0
329,Jurassic Park,920100000,4783,488,1840200000.0,7151799213.0
271110,Captain America: Civil War,1153304495,16828,19271,4670177667.5,3736142134.0
674,Harry Potter and the Goblet of Fire,895921036,10980,10723,4509217964.166667,1791842072.0
1891,The Empire Strikes Back,538400000,2,10930,2515330676.0,1076800000.0
673,Harry Potter and the Prisoner of Azkaban,789804554,10980,11218,4509217964.166667,3012394518.0
675,Harry Potter and the Order of the Phoenix,938212738,10980,11343,4509217964.166667,1872171935.0
767,Harry Potter and the Half-Blood Prince,933959197,10980,11343,4509217964.166667,1872171935.0
68721,Iron Man 3,1215439994,3223,1108,10632545595.0,2430879988.0
14160,Up,735099082,68812,12890,1470198164.0,4311053024.0
672,Harry Potter and the Chamber of Secrets,876688482,10980,10965,4509217964.166667,1853164032.0
58,Pirates of the Caribbean: Dead Man's Chest,1065659812,85,1704,4659231047.5,2681671036.0
37724,Skyfall,1108561013,8784,39,3415213946.0,2929715228.0
177572,Big Hero 6,652105443,66580,70238,1956316329.0,1956316329.0
101299,The Hunger Games: Catching Fire,847423452,72129,10943,1694846904.0,1694846904.0
1892,Return of the Jedi,572700000,2,19800,2515330676.0,1145400000.0
745,The Sixth Sense,672806292,62,11614,1345612584.0,1345612584.0
49051,The Hobbit: An Unexpected Journey,1021103568,1327,108,3063310704.0,2926034049.5
100402,Captain America: The Winter Soldier,714766572,16828,19271,4670177667.5,3736142134.0
122917,The Hobbit: The Battle of the Five Armies,956019788,7060,108,1914419788.0,2926034049.5
127585,X-Men: Days of Future Past,747862775,6968,9032,1495725550.0,1495725550.0
293660,Deadpool,783112979,10859,55252,1566225958.0,1566225958.0
424,Schindler's List,321365567,3896,488,642731134.0,7151799213.0
93456,Despicable Me 2,970761885,4495,124747,2912285655.0,5824571310.0
238,The Godfather,245066411,3084,1776,490132822.0,490132822.0
601,E.T. the Extra-Terrestrial,792910554,9976,488,1585821108.0,7151799213.0
857,Saving Private Ryan,481840909,31,488,5192838079.2,7151799213.0
286217,The Martian,630161890,1892,578,3780971340.0,2175604634.0
129,Spirited Away,274925095,19587,608,549850190.0,1338021716.0
10681,WALL·E,521311860,670,7,1042623720.0,2923294792.0
603,The Matrix,463517383,6384,9339,1390552149.0,1390552149.0
98,Gladiator,457640427,934,578,915280854.0,2175604634.0
82702,How to Train Your Dragon 2,609123048,449,69797,1656002710.5,1827369144.0
285,Pirates of the Caribbean: At World's End,961000000,85,1704,4659231047.5,2681671036.0
22,Pirates of the Caribbean: The Curse of the Black Pearl,655011224,85,1704,4659231047.5,2681671036.0
1895,Star Wars: Episode III - Revenge of the Sith,850000000,3061,1,1700000000.0,3250796014.0
497,The Green Mile,284600000,31,4027,5192838079.2,625882938.0
105,Back to the Future,381109762,521,24,762219524.0,2118110322.0
807,Se7en,327311859,287,7467,1616107272.5,1329159958.3333333
2062,Ratatouille,623722818,10872,7930,1871168454.0,1871168454.0
280,Terminator 2: Judgment Day,520000000,1100,2710,1040000000.0,10305998550.0
680,Pulp Fiction,213928762,8891,138,427857524.0,1916856100.0
49047,Gravity,716392705,18277,11218,4682809167.5,3012394518.0
119450,Dawn of the Planet of the Apes,710644566,1333,32278,1421289132.0,1421289132.0
211672,Minions,1156730962,18277,8023,4682809167.5,3470192886.0
106646,The Wolf of Wall Street,392000694,6193,1032,3517221894.666667,1022772072.0
4935,Howl's Moving Castle,234710455,12670,608,469420910.0,1338021716.0
9806,The Incredibles,631442092,8977,7087,1262884184.0,3157210460.0
68718,Django Unchained,425368238,134,138,850736476.0,1916856100.0
274,The Silence of the Lambs,272742922,1038,16294,545485844.0,545485844.0
210577,Gone Girl,369330363,880,7467,738660726.0,1329159958.3333333
585,"Monsters, Inc.",562816256,1230,12890,1688448768.0,4311053024.0
278927,The Jungle Book,966550600,1414734,15277,1933101200.0,3103449644.0
14,American Beauty,356296601,1979,39,712593202.0,2929715228.0
38757,Tangled,591794936,69899,76595,1775384808.0,1775384808.0
207,Dead Poets Society,235860116,2157,2690,471720232.0,471720232.0
278,The Shawshank Redemption,28341469,504,4027,56682938.0,625882938.0
1726,Iron Man,585174222,3223,15277,10632545595.0,3103449644.0
